,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),"Domestic Beer (0,5 liter draught)","Imported Beer (0,33 liter bottle)","Coke/Pepsi (0,33 liter bottle)","Water (0,33 liter bottle) ","Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Local Cheese (1kg),"Water (1,5 liter bottle)",Bottle of Wine (Mid-Range),"Domestic Beer (0,5 liter bottle)","Imported Beer (0,33 liter bottle)",Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),"Chicken Breasts (Boneless, Skinless), (1kg)",Monthly Pass (Regular Price),Gasoline (1 liter),Volkswagen Golf,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","1 min, of Prepaid Mobile Tariff Local (No Discounts or Plans)","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ,,,)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),Cappuccino (regular),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),"Toyota Corolla 1,6l 97kW Comfort (Or Equivalent New Car)","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child"
"Kolkata, India","2,53 €","10,76 €","3,79 €","1,87 €","3,48 €","0,35 €","0,14 €","0,50 €","0,29 €","0,78 €","4,29 €","0,35 €","7,59 €","1,53 €","2,73 €","3,80 €","0,13 €","2,43 €","3,16 €","0,96 €","10.757,68 €","138,31 €","79,35 €","321,93 €","184,50 €","29,47 €","0,01 €","7,72 €","15,18 €","7,07 €","3,16 €","29,84 €","29,48 €","41,37 €","30,39 €","1.031,14 €","535,32 €","323,06 €","9,13 €","0,38 €","0,22 €","0,76 €","1,63 €","1,05 €","0,27 €","0,32 €","1,38 €","0,59 €","0,43 €","0,60 €","0,36 €","4,15 €","19.667,56 €","37,06 €","1.126,10 €"
"Chandigarh, India","2,54 €","10,16 €","3,30 €","1,90 €","3,17 €","0,35 €","0,22 €","0,70 €","0,44 €","0,78 €","4,87 €","0,42 €","12,70 €","1,71 €","2,76 €","3,81 €","0,25 €","3,58 €","6,35 €","0,91 €","10.791,47 €","149,06 €","88,87 €","360,85 €","219,96 €","60,44 €","0,01 €","10,73 €","18,59 €","6,47 €","3,17 €","32,44 €","41,29 €","50,11 €","36,31 €","1.416,37 €","694,30 €","380,27 €","9,35 €","0,63 €","0,15 €","1,02 €","1,80 €","0,99 €","0,29 €","0,54 €","1,39 €","0,90 €","0,43 €","0,76 €","0,39 €","5,95 €","21.138,58 €","48,37 €","1.743,81 €"
"Jakarta, Indonesia","2,62 €","16,40 €","3,28 €","2,62 €","3,44 €","0,56 €","0,26 €","1,24 €","1,11 €","1,52 €","6,70 €","0,49 €","29,52 €","2,11 €","2,79 €","1,64 €","0,23 €","2,99 €","11,41 €","0,60 €","26.244,34 €","401,19 €","224,82 €","1.361,18 €","634,08 €","96,12 €","0,12 €","26,47 €","38,09 €","9,24 €","3,28 €","39,61 €","29,82 €","65,65 €","83,08 €","2.197,78 €","1.104,45 €","414,33 €","10,00 €","0,46 €","0,33 €","2,76 €","2,80 €","2,35 €","1,44 €","1,07 €","2,32 €","0,86 €","1,38 €","1,46 €","2,22 €","8,08 €","27.582,69 €","140,45 €","5.755,87 €"
"Alexandria, Egypt","2,81 €","14,06 €","3,38 €","1,69 €","2,81 €","0,32 €","0,19 €","0,81 €","0,51 €","1,02 €","3,68 €","0,26 €","7,03 €","1,31 €","1,97 €","2,25 €","0,23 €","4,07 €","8,44 €","0,39 €","23.626,73 €","142,04 €","84,65 €","285,82 €","169,03 €","18,56 €","0,01 €","16,57 €","19,58 €","7,52 €","3,66 €","32,34 €","40,48 €","114,49 €","49,58 €","672,49 €","291,12 €","163,94 €","16,17 €","0,34 €","0,14 €","2,25 €","1,48 €","0,40 €","0,37 €","0,20 €","1,45 €","0,66 €","0,39 €","0,66 €","0,31 €","8,37 €","23.071,86 €","55,41 €","2.132,54 €"
"Kuala Lumpur, Malaysia","2,87 €","16,60 €","3,32 €","3,32 €","4,42 €","0,59 €","0,34 €","1,45 €","0,74 €","1,19 €","9,39 €","0,52 €","15,48 €","2,03 €","2,94 €","3,85 €","0,55 €","2,64 €","22,11 €","0,47 €","33.823,90 €","478,24 €","273,76 €","845,42 €","450,90 €","48,02 €","0,06 €","26,76 €","38,52 €","6,40 €","3,98 €","49,78 €","28,57 €","62,03 €","59,53 €","2.759,98 €","1.362,08 €","923,24 €","4,60 €","0,66 €","0,44 €","5,53 €","2,41 €","1,90 €","0,73 €","0,88 €","2,53 €","1,05 €","1,11 €","1,34 €","0,74 €","7,35 €","25.033,13 €","167,18 €","6.040,38 €"
"Izmir, Turkey","3,06 €","12,22 €","3,06 €","2,29 €","2,75 €","0,61 €","0,22 €","0,65 €","0,38 €","1,51 €","4,97 €","0,29 €","6,11 €","1,63 €","2,09 €","2,29 €","0,46 €","3,05 €","22,92 €","1,04 €","24.443,15 €","212,22 €","128,36 €","353,76 €","225,34 €","51,07 €","0,09 €","12,89 €","20,64 €","11,67 €","3,06 €","33,20 €","22,48 €","52,74 €","42,20 €","856,54 €","508,14 €","392,07 €","22,23 €","0,61 €","0,57 €","3,51 €","0,77 €","0,73 €","0,52 €","0,57 €","1,56 €","1,31 €","0,70 €","1,78 €","0,58 €","8,61 €","20.898,83 €","212,18 €","4.948,41 €"
"Pune, India","3,16 €","12,66 €","3,16 €","2,28 €","3,54 €","0,44 €","0,18 €","0,63 €","0,44 €","0,85 €","5,77 €","0,37 €","7,59 €","1,62 €","2,61 €","3,80 €","0,25 €","3,01 €","12,66 €","1,00 €","11.390,48 €","205,68 €","127,68 €","400,17 €","259,74 €","26,65 €","0,01 €","11,70 €","16,08 €","5,09 €","3,54 €","34,41 €","31,74 €","46,57 €","37,77 €","1.491,93 €","808,94 €","531,09 €","9,27 €","0,63 €","0,23 €","1,27 €","2,05 €","1,09 €","0,33 €","0,56 €","1,61 €","0,70 €","0,48 €","0,68 €","0,37 €","4,74 €","21.438,90 €","71,29 €","1.467,45 €"
"Lima, Peru","3,26 €","21,71 €","4,21 €","1,90 €","2,71 €","0,69 €","0,48 €","1,26 €","1,44 €","1,73 €","6,94 €","0,90 €","9,50 €","1,50 €","2,80 €","3,66 €","0,41 €","4,30 €","23,20 €","1,04 €","15.479,65 €","435,67 €","279,01 €","847,79 €","560,23 €","63,97 €","0,17 €","34,82 €","48,84 €","11,07 €","5,43 €","42,44 €","30,68 €","68,69 €","69,89 €","1.589,12 €","1.179,83 €","439,49 €","8,95 €","1,97 €","1,36 €","5,43 €","1,62 €","0,98 €","0,94 €","0,72 €","2,14 €","0,96 €","1,15 €","1,16 €","0,96 €","7,21 €","16.586,24 €","222,68 €","5.049,27 €"
"Bogota, Colombia","3,30 €","19,24 €","4,40 €","0,96 €","2,20 €","0,68 €","0,55 €","0,76 €","0,81 €","1,36 €","3,19 €","0,77 €","8,24 €","0,76 €","1,55 €","1,65 €","0,66 €","3,19 €","32,98 €","0,68 €","16.488,60 €","341,45 €","245,33 €","608,02 €","431,88 €","76,59 €","0,05 €","29,06 €","23,80 €","8,00 €","3,85 €","48,26 €","31,90 €","69,88 €","66,61 €","1.708,68 €","1.364,64 €","306,08 €","11,48 €","1,24 €","1,37 €","5,50 €","1,83 €","0,76 €","0,62 €","0,69 €","1,18 €","0,82 €","0,95 €","0,71 €","0,74 €","4,31 €","19.255,63 €","223,12 €","5.386,28 €"
"Cairo, Egypt","3,38 €","17,48 €","4,51 €","1,69 €","2,82 €","0,29 €","0,18 €","0,84 €","0,51 €","1,04 €","3,16 €","0,29 €","10,72 €","1,40 €","2,06 €","2,26 €","0,28 €","4,18 €","11,28 €","0,45 €","25.098,60 €","188,00 €","109,76 €","352,74 €","229,29 €","25,79 €","0,01 €","14,77 €","26,19 €","7,07 €","4,51 €","42,38 €","44,32 €","114,98 €","56,92 €","695,67 €","407,03 €","221,70 €","13,42 €","0,39 €","0,17 €","1,13 €","1,31 €","0,39 €","0,47 €","0,28 €","1,65 €","0,65 €","0,35 €","0,66 €","0,34 €","8,06 €","21.020,29 €","121,15 €","2.781,29 €"
"Manila, Philippines","3,56 €","17,82 €","2,67 €","1,25 €","2,32 €","0,62 €","0,36 €","1,48 €","1,05 €","1,51 €","4,41 €","0,69 €","6,68 €","0,87 €","1,48 €","1,78 €","0,27 €","3,13 €","12,05 €","0,92 €","16.000,78 €","552,51 €","192,18 €","1.679,37 €","462,62 €","120,87 €","0,14 €","45,47 €","43,97 €","5,35 €","5,35 €","42,43 €","26,97 €","70,59 €","76,79 €","2.334,19 €","1.128,49 €","358,20 €","8,00 €","0,71 €","0,24 €","2,14 €","2,17 €","1,76 €","1,60 €","0,93 €","2,29 €","0,91 €","1,21 €","1,26 €","1,71 €","5,12 €","16.737,32 €","143,94 €","5.990,32 €"
"Sarajevo, Bosnia And Herzegovina","3,57 €","20,42 €","4,08 €","1,79 €","1,79 €","1,36 €","0,68 €","0,70 €","0,52 €","1,49 €","5,58 €","0,51 €","4,59 €","0,62 €","1,00 €","2,81 €","0,92 €","3,85 €","27,06 €","1,19 €","17.868,62 €","254,49 €","170,61 €","510,21 €","307,20 €","140,53 €","0,12 €","22,77 €","26,50 €","10,58 €","3,57 €","53,86 €","29,39 €","71,16 €","86,28 €","1.690,41 €","994,50 €","486,12 €","4,60 €","0,97 €","0,61 €","5,11 €","0,94 €","1,22 €","0,57 €","0,51 €","1,28 €","1,05 €","1,13 €","1,13 €","0,63 €","7,66 €","17.681,12 €","164,67 €","3.431,24 €"
"Banja Luka, Bosnia And Herzegovina","3,58 €","22,99 €","3,58 €","1,02 €","1,53 €","1,18 €","0,74 €","0,69 €","0,63 €","1,47 €","4,76 €","0,48 €","4,34 €","0,50 €","0,86 €","2,81 €","0,92 €","3,97 €","22,48 €","1,17 €","16.859,68 €","219,72 €","159,73 €","398,18 €","259,32 €","141,04 €","0,10 €","21,34 €","20,70 €","9,38 €","2,55 €","63,44 €","26,64 €","73,77 €","74,25 €","1.328,34 €","1.008,17 €","430,69 €","4,46 €","1,02 €","0,77 €","7,66 €","0,86 €","1,18 €","0,55 €","0,55 €","0,85 €","1,05 €","0,94 €","1,06 €","0,64 €","7,43 €","16.529,98 €","128,70 €","1.348,77 €"
"Tashkent, Uzbekistan","3,59 €","15,72 €","2,70 €","0,90 €","1,80 €","0,54 €","0,21 €","0,64 €","0,15 €","0,92 €","3,73 €","0,28 €","2,70 €","0,51 €","1,46 €","1,17 €","0,13 €","2,35 €","13,48 €","0,46 €","17.071,22 €","209,86 €","124,02 €","449,24 €","239,90 €","31,53 €","0,02 €","35,48 €","24,77 €","5,75 €","3,59 €","35,25 €","32,67 €","68,86 €","61,57 €","802,53 €","390,61 €","205,98 €","18,36 €","0,54 €","0,18 €","2,31 €","0,93 €","2,22 €","0,38 €","0,21 €","1,11 €","0,82 €","0,63 €","1,79 €","0,25 €","4,76 €","19.227,58 €","125,64 €","3.996,17 €"
"Quito, Ecuador","3,59 €","31,45 €","5,39 €","1,35 €","2,70 €","0,71 €","0,47 €","0,87 €","1,35 €","1,59 €","5,47 €","0,93 €","11,68 €","1,26 €","2,55 €","4,49 €","0,22 €","6,01 €","23,81 €","0,54 €","21.563,64 €","369,07 €","221,89 €","680,28 €","447,51 €","39,64 €","0,11 €","36,77 €","40,91 €","16,73 €","5,39 €","56,57 €","41,74 €","88,39 €","84,05 €","1.388,16 €","947,32 €","527,18 €","10,71 €","1,35 €","1,35 €","8,98 €","2,07 €","1,32 €","1,02 €","0,58 €","1,81 €","1,34 €","1,06 €","0,99 €","0,94 €","6,46 €","25.324,92 €","276,63 €","6.410,05 €"
"Taipei, Taiwan","3,61 €","24,04 €","3,91 €","1,77 €","2,10 €","0,80 €","0,59 €","2,64 €","1,63 €","2,24 €","17,00 €","1,12 €","13,52 €","1,41 €","2,09 €","3,31 €","0,60 €","7,79 €","38,47 €","0,88 €","27.049,67 €","487,78 €","323,83 €","1.084,45 €","730,68 €","68,80 €","0,13 €","20,55 €","40,35 €","12,08 €","9,02 €","60,58 €","31,00 €","78,11 €","105,25 €","11.375,12 €","6.378,89 €","1.340,77 €","1,90 €","2,10 €","0,75 €","7,06 €","4,43 €","2,53 €","2,58 €","1,39 €","2,64 €","3,05 €","2,96 €","1,93 €","2,04 €","18,99 €","20.708,03 €","464,55 €","10.610,54 €"
"Lviv, Ukraine","3,75 €","18,76 €","3,56 €","1,50 €","1,50 €","0,48 €","0,37 €","0,85 €","0,46 €","1,21 €","5,59 €","0,46 €","4,03 €","0,62 €","1,32 €","1,54 €","0,26 €","3,60 €","5,63 €","1,14 €","20.706,61 €","364,65 €","249,90 €","589,43 €","414,33 €","88,45 €","0,03 €","4,44 €","17,16 €","8,84 €","3,75 €","59,94 €","40,06 €","85,50 €","97,41 €","1.182,64 €","609,22 €","341,38 €","18,96 €","1,88 €","0,26 €","3,00 €","0,76 €","1,33 €","0,38 €","0,62 €","1,15 €","1,02 €","1,34 €","1,13 €","0,41 €","5,65 €","20.334,03 €","192,51 €","2.729,00 €"
"Noida, India","3,80 €","12,66 €","3,16 €","1,39 €","2,53 €","0,39 €","0,17 €","0,61 €","0,40 €","0,84 €","2,96 €","0,37 €","9,65 €","1,34 €","2,17 €","3,16 €","0,51 €","3,00 €","12,66 €","0,94 €","10.124,87 €","153,28 €","94,92 €","344,64 €","208,55 €","61,65 €","0,01 €","11,58 €","22,23 €","10,76 €","3,80 €","29,16 €","33,33 €","52,08 €","33,12 €","874,62 €","585,38 €","536,67 €","9,21 €","0,63 €","0,15 €","0,76 €","1,81 €","0,86 €","0,26 €","0,59 €","1,45 €","1,02 €","0,45 €","0,70 €","0,35 €","4,51 €","20.946,70 €","87,89 €","2.190,01 €"
"Delhi, India","3,80 €","15,19 €","3,16 €","1,90 €","3,10 €","0,42 €","0,19 €","0,64 €","0,40 €","0,87 €","4,22 €","0,37 €","9,49 €","1,36 €","2,39 €","3,80 €","0,38 €","3,35 €","12,66 €","0,94 €","10.124,87 €","200,32 €","123,19 €","491,27 €","291,67 €","51,68 €","0,01 €","9,76 €","21,35 €","7,29 €","3,80 €","30,56 €","33,54 €","47,87 €","37,65 €","1.783,51 €","857,45 €","473,80 €","9,23 €","0,63 €","0,19 €","0,76 €","1,63 €","0,76 €","0,29 €","0,43 €","1,64 €","0,79 €","0,45 €","0,67 €","0,34 €","5,19 €","21.350,29 €","68,71 €","1.674,83 €"
"Gurgaon, India","3,80 €","12,66 €","3,16 €","1,96 €","3,16 €","0,39 €","0,20 €","0,63 €","0,40 €","1,01 €","4,37 €","0,35 €","10,12 €","1,49 €","2,38 €","3,80 €","0,51 €","3,39 €","13,92 €","0,94 €","10.757,68 €","238,36 €","146,22 €","569,92 €","350,88 €","63,53 €","0,01 €","12,81 €","29,15 €","7,54 €","4,43 €","33,43 €","39,62 €","54,08 €","43,62 €","1.534,45 €","940,84 €","859,33 €","9,22 €","0,63 €","0,16 €","1,14 €","2,02 €","0,93 €","0,30 €","0,60 €","1,71 €","0,90 €","0,49 €","0,71 €","0,36 €","6,04 €","22.201,55 €","104,09 €","2.512,76 €"
"Mumbai, India","3,80 €","15,19 €","3,80 €","2,28 €","3,92 €","0,45 €","0,17 €","0,68 €","0,41 €","0,84 €","5,11 €","0,36 €","7,59 €","1,70 €","3,28 €","3,80 €","0,25 €","3,28 €","3,80 €","1,00 €","10.757,68 €","515,42 €","263,33 €","1.443,43 €","608,27 €","47,45 €","0,01 €","9,09 €","24,63 €","8,89 €","3,80 €","31,35 €","29,83 €","47,14 €","35,47 €","6.038,18 €","2.404,08 €","487,96 €","9,21 €","0,28 €","0,28 €","1,27 €","1,85 €","1,07 €","0,33 €","0,61 €","1,92 €","0,73 €","0,47 €","0,65 €","0,37 €","4,16 €","20.378,51 €","63,14 €","2.070,30 €"
"Bursa, Turkey","3,82 €","11,47 €","3,06 €","2,37 €","3,06 €","0,70 €","0,23 €","0,69 €","0,42 €","1,63 €","5,93 €","0,29 €","7,65 €","1,64 €","2,14 €","2,29 €","0,51 €","3,15 €","22,95 €","1,05 €","22.948,67 €","177,53 €","121,74 €","315,38 €","203,48 €","67,46 €","0,12 €","12,93 €","23,40 €","8,21 €","3,06 €","29,38 €","17,75 €","57,01 €","46,84 €","573,51 €","385,98 €","443,85 €","19,05 €","0,64 €","0,50 €","2,75 €","0,81 €","0,81 €","0,50 €","0,53 €","1,59 €","1,40 €","0,79 €","1,73 €","0,55 €","10,08 €","20.892,07 €","200,51 €","4.036,19 €"
"Ankara, Turkey","3,82 €","15,28 €","3,51 €","2,75 €","3,06 €","0,65 €","0,20 €","0,69 €","0,41 €","1,40 €","5,09 €","0,26 €","6,87 €","1,74 €","2,37 €","2,44 €","0,46 €","3,38 €","22,92 €","1,07 €","24.198,72 €","198,86 €","125,32 €","322,86 €","200,20 €","54,61 €","0,11 €","14,11 €","20,81 €","9,50 €","3,06 €","35,67 €","24,10 €","55,84 €","47,00 €","692,22 €","420,59 €","440,17 €","20,19 €","0,69 €","0,46 €","3,82 €","0,80 €","0,74 €","0,56 €","0,53 €","1,70 €","1,26 €","0,79 €","1,78 €","0,51 €","9,24 €","20.134,24 €","242,55 €","5.303,45 €"
